hrName,hrNo,meet,rating1,rating2,rating3,rating4
파워불릿,0028928,부산경남,68,69.0,70.0,70.0
롱웨이베이비,0029064,부산경남,77,96.0,,
억만돌이,0029067,부산경남,89,92.0,94.0,114.0
오르세,0029091,부산경남,108,108.0,109.0,112.0
잡지마,0029092,부산경남,76,95.0,,
칼마,0029095,부산경남,76,95.0,,
실버클래식,0029098,부산경남,90,90.0,82.0,78.0
미스터와이,0029107,부산경남,61,61.0,62.0,64.0
감동의바다,0029166,부산경남,111,113.0,114.0,114.0
여왕벌,0029204,부산경남,52,53.0,55.0,67.0
바다축제,0029217,부산경남,79,98.0,98.0,98.0
와싸마싸우,0029220,부산경남,58,71.0,72.0,
톱스프링,0029271,부산경남,61,63.0,64.0,64.0
와일드명운,0029274,부산경남,89,109.0,109.0,110.0
언브라이들보이지,0029280,부산경남,96,116.0,117.0,117.0
마리나즈보이,0029281,부산경남,78,97.0,,
톱번스타인,0029301,부산경남,83,85.0,85.0,87.0
배다리대부,0029323,부산경남,63,66.0,66.0,67.0
천지불패,0029329,부산경남,103,103.0,104.0,105.0
초광,0029332,부산경남,79,81.0,82.0,83.0
미스터카이저,0029334,부산경남,61,63.0,63.0,62.0
켄터키영웅,0029337,부산경남,60,73.0,73.0,74.0
비룡,0029339,부산경남,109,109.0,110.0,110.0
신동력,0029344,부산경남,58,71.0,72.0,
컬러미골드,0029345,부산경남,52,62.0,64.0,65.0
드리우마,0029498,부산경남,21,21.0,21.0,17.0
최고야,0029499,부산경남,40,47.0,48.0,50.0
중앙해주,0029500,부산경남,81,101.0,101.0,101.0
포티브룩,0029507,부산경남,0,0.0,,
포티큐어,0029511,부산경남,108,110.0,110.0,110.0
대호여걸,0029517,부산경남,37,43.0,45.0,48.0
톱댄서,0029521,부산경남,33,33.0,33.0,0.0
글로벌킹,0029525,부산경남,60,62.0,63.0,64.0
동남천하,0029531,부산경남,57,58.0,59.0,60.0
선플레어,0029534,부산경남,24,25.0,26.0,26.0
럭키청춘,0029540,부산경남,22,23.0,24.0,24.0
위너스캣,0029566,부산경남,52,52.0,,
레드빅,0029571,부산경남,42,42.0,42.0,42.0
강남캠프,0029579,부산경남,68,84.0,85.0,85.0
야생쾌걸,0029584,부산경남,21,21.0,23.0,
미래스타,0029587,부산경남,0,0.0,,
원일공주,0029594,부산경남,42,49.0,50.0,50.0
빅토리선,0029597,부산경남,81,101.0,101.0,101.0
화이트이글,0029600,부산경남,55,66.0,67.0,67.0
천지거탑,0029601,부산경남,43,43.0,44.0,44.0
자풍,0029605,부산경남,0,0.0,,
로열위시,0029607,부산경남,0,0.0,0.0,
하이브리드,0029609,부산경남,66,66.0,66.0,67.0
천하울림,0029617,부산경남,52,53.0,54.0,55.0
나이스퀸,0029629,부산경남,22,23.0,,
금포폭풍,0029630,부산경남,21,21.0,21.0,22.0
통합영웅,0029634,부산경남,63,63.0,66.0,66.0
파로스등대,0029641,부산경남,40,46.0,47.0,
톱파이터,0029645,부산경남,70,71.0,72.0,73.0
블랙키,0029647,부산경남,42,49.0,48.0,46.0
명량해전,0029648,부산경남,23,24.0,24.0,25.0
영광의축복,0029650,부산경남,51,51.0,52.0,52.0
부호,0029654,부산경남,76,77.0,78.0,78.0
금포엔젤,0029670,부산경남,63,63.0,63.0,53.0
새나,0029673,부산경남,64,64.0,60.0,60.0
대지의요정,0029674,부산경남,61,74.0,74.0,74.0
오버스피드,0029675,부산경남,57,69.0,70.0,71.0
담양미인,0029677,부산경남,0,0.0,,
신흥고수,0029683,부산경남,28,29.0,30.0,31.0
한백스타,0029689,부산경남,0,0.0,,
상승대로,0029694,부산경남,36,36.0,35.0,34.0
신세계파티,0029698,부산경남,55,67.0,68.0,68.0
굿터치,0029699,부산경남,37,38.0,38.0,38.0
더비케이스,0029700,부산경남,0,0.0,,
선더레이,0029703,부산경남,40,46.0,48.0,48.0
헬리오시스,0029705,부산경남,0,0.0,,
코리아헌터,0029707,부산경남,21,21.0,22.0,23.0
비바스파크,0029733,부산경남,0,0.0,,
알파만점,0029738,부산경남,28,31.0,32.0,
천지최강,0029743,부산경남,26,28.0,,
롱스트라이드,0029744,부산경남,37,39.0,40.0,42.0
은하,0029747,부산경남,31,33.0,34.0,35.0
대호명장,0029751,부산경남,25,27.0,,
베터댄유,0029755,부산경남,38,38.0,39.0,39.0
탐라명장,0029756,부산경남,0,0.0,,
폭풍의눈,0029760,부산경남,28,30.0,31.0,31.0
천하오름,0029761,부산경남,61,61.0,61.0,74.0
버닝크라운,0029767,부산경남,27,29.0,30.0,31.0
바람의질주,0029788,부산경남,22,23.0,24.0,26.0
한마강호,0029789,부산경남,24,25.0,27.0,28.0
영광의태양,0029796,부산경남,30,31.0,34.0,35.0
메이저스타,0029812,부산경남,81,81.0,101.0,101.0
금포스카이,0029817,부산경남,86,89.0,91.0,93.0
스플렌디드,0029831,부산경남,0,0.0,,
남도트리오,0029840,부산경남,66,66.0,66.0,81.0
한마본능,0029841,부산경남,28,30.0,,
임팩트,0029845,부산경남,84,84.0,85.0,85.0
질주의바다,0029847,부산경남,38,39.0,40.0,40.0
러블리스타,0029848,부산경남,38,40.0,42.0,43.0
앨커미,0029852,부산경남,30,33.0,33.0,29.0
푸른에이스,0029854,부산경남,74,75.0,77.0,78.0
수성강자,0029855,부산경남,28,30.0,,
비더넥스트,0029860,부산경남,22,22.0,24.0,26.0
머제스틱파워,0029869,부산경남,21,21.0,21.0,21.0
파워에너지,0029870,부산경남,53,64.0,64.0,64.0
챔피언이지,0029876,부산경남,28,31.0,31.0,
천상의질주,0029878,부산경남,53,64.0,64.0,65.0
곰염섬,0029879,부산경남,28,30.0,,
윈사인,0029886,부산경남,52,62.0,62.0,54.0
초코케이스,0029887,부산경남,0,0.0,,
클라이밍,0029902,부산경남,58,58.0,70.0,70.0
베가엑스,0029905,부산경남,22,23.0,,
듀앨소나타,0029906,부산경남,43,50.0,,
무비라이크,0029907,부산경남,0,0.0,,
질주화신,0029908,부산경남,57,57.0,58.0,59.0
바람탄,0029910,부산경남,57,58.0,60.0,61.0
퍼펙트레이디,0029933,부산경남,29,32.0,33.0,33.0
네이비스타,0029934,부산경남,0,0.0,,
최강병기,0029938,부산경남,77,77.0,79.0,80.0
모닝휘파람,0029939,부산경남,59,61.0,63.0,66.0
모닝강자,0029941,부산경남,26,27.0,29.0,31.0
해피하나,0029955,부산경남,46,55.0,55.0,48.0
럭키투데이,0029964,부산경남,40,46.0,47.0,49.0
서울불릿,0029974,부산경남,106,108.0,108.0,108.0
가락공원,0029981,부산경남,23,23.0,23.0,23.0
천하최강,0029986,부산경남,0,0.0,0.0,
벤볼트,0029988,부산경남,0,0.0,,
최대속도,0029989,부산경남,22,24.0,25.0,25.0
파워빅터,0029991,부산경남,26,28.0,29.0,30.0
상승물결,0029995,부산경남,25,26.0,27.0,27.0
퍼번트스톰,0030001,부산경남,81,83.0,85.0,86.0
앰버고,0030005,부산경남,55,66.0,,
퍼펙트히어로,0030006,부산경남,26,28.0,29.0,29.0
피코이지스,0030011,부산경남,50,48.0,48.0,48.0
하이키,0030012,부산경남,54,65.0,66.0,66.0
더키,0030013,부산경남,58,70.0,71.0,73.0
네버신비포,0030018,부산경남,94,114.0,117.0,117.0
와일드러시,0030020,부산경남,87,89.0,91.0,91.0
느마치,0030021,부산경남,28,31.0,31.0,
영웅강호,0030022,부산경남,28,30.0,30.0,0.0
여러분의세상,0030025,부산경남,25,26.0,27.0,27.0
영웅출현,0030028,부산경남,61,75.0,76.0,
파인드림,0030038,부산경남,63,64.0,65.0,65.0
금포퍼펙트,0030047,부산경남,23,24.0,25.0,
해피러브,0030051,부산경남,21,20.0,20.0,20.0
원일강자,0030070,부산경남,105,106.0,106.0,102.0
레이스신,0030071,부산경남,57,58.0,59.0,59.0
비보마린,0030074,부산경남,59,72.0,72.0,72.0
샤프레이디,0030076,부산경남,66,81.0,81.0,81.0
